sp,year.approx,sdr
sardine,1230.9,7.912
sardine,1243.733,2.117
sardine,1254.221,3.239
sardine,1260.676,6.578
sardine,1271.822,1.929
sardine,1283.749,0.431
sardine,1297.109,0.676
sardine,1308.874,2.998
sardine,1321.923,3.631
sardine,1333.41,3.195
sardine,1344.37,0.738
sardine,1351.049,4.641
sardine,1364.076,1.39
sardine,1373.186,1.02
sardine,1384.215,0.088
sardine,1391.499,0.382
sardine,1401.205,2.137
sardine,1412.823,1.166
sardine,1420.609,1.955
sardine,1433.349,1.141
sardine,1445.037,0.998
sardine,1453.148,0.046
sardine,1463.791,1.291
sardine,1473.737,0.136
sardine,1481.887,0.599
sardine,1492.275,2.359
sardine,1502.917,5.168
sardine,1510.68,18.294
sardine,1525.781,7.488
sardine,1537.987,0.148
sardine,1552.268,0.174
sardine,1568.53,0.14
sardine,1592.942,1.337
sardine,1605.868,0.353
sardine,1611.781,1.218
sardine,1623.554,1.265
sardine,1637.3,0.132
sardine,1648.214,0.168
sardine,1662.75,0.33
sardine,1674.971,4.234
sardine,1685.513,1.904
sardine,1694.329,3.012
sardine,1705.111,1.952
sardine,1713.176,2.662
sardine,1724.353,0.898
sardine,1733.765,1.853
sardine,1745.057,3.01
sardine,1758.177,2.363
sardine,1767.047,1.47
sardine,1777.434,0.118
sardine,1783.959,0.12
sardine,1795.151,2.115
sardine,1807.032,1.662
sardine,1815.283,2.753
sardine,1826.112,2.659
sardine,1834.765,4.077
sardine,1846.127,5.763
sardine,1854.216,10.059
sardine,1865.578,4.545
sardine,1879.51,0.232
sardine,1885.137,1.251
sardine,1892.537,10.427
sardine,1906.871,3.359
sardine,1915.927,4.524
sardine,1926.02,5.521
sardine,1936.408,2.63
sardine,1946.888,0.506
sardine,1959.844,0.158
sardine,1966.16,0.371
sardine,1980.51,0.158
sardine,1989.497,0.183
